productId,isActive,customId,title,series,model,manufacturer,brand,qtyInStock,mrp,description,productUrl,expectedDeliveryInDays,returnProductInDays,mainImage,tags,hsn,sku,barcode,srp,costPrice,warrantyDuration,weightValue,isTrackQty,isPhysicalProduct,isSellEvenOutStock,,,
62da57fe863ba7c37a13223b,TRUE,2774,Dovel Titan One Piece Wash Basin (White),ONE PIECE WASH BASIN,TITAN,DOVEL,62834e7eaff84f6680ff9665,1000,4000,L 375 W 370 H 260 mm,dovel-titan-one-piece-wash-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Titan One Piece Wash Basin (White).jpg,,,,,4000,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a13223c,TRUE,2775,Dovel Tora Table Top Basin (White),TABLE TOP BASIN,TORA,DOVEL,62834e7eaff84f6680ff9665,1000,5000,L 603 W 412 H 100 mm,dovel-tora-table-top-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Tora Table Top Basin (White).jpg,,,,,0,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a13223d,FALSE,2776,Dovel Piano One Piece Wash Basin (White),ONE PIECE WASH BASIN,PIANO,DOVEL,62834e7eaff84f6680ff9665,1000,11111,L 415 W 405 H 825 mm,dovel-piano-one-piece-wash-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Piano One Piece Wash Basin (White).jpg,,,,,0,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a13223e,TRUE,2778,Dovel Oliver Table Top Basin (White),TABLE TOP BASIN,OLIVER,DOVEL,62834e7eaff84f6680ff9665,1000,3000,L 555 W 370 H 110 mm,dovel-oliver-table-top-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Oliver Table Top Basin (White).jpg,,,,,3000,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a13223f,TRUE,2779,Dovel Compaq Square Table Top Basin (White),TABLE TOP BASIN,COMPAQ,DOVEL,62834e7eaff84f6680ff9665,1000,3000,L 435 W 435 H 115 mm,dovel-compaq-table-top-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Compaq Table Top Basin (White).jpg,,,,,3000,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132240,TRUE,2780,Dovel Kena Rectangle Table Top Basin (White),TABLE TOP BASIN,KENA,DOVEL,62834e7eaff84f6680ff9665,1000,2500,L 485 W 370 H 130 mm,dovel-kena-table-top-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Kena Table Top Basin (White).jpg,,,,,2500,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132241,TRUE,2781,Dovel Elite One Piece Wash Basin (White),ONE PIECE WASH BASIN,ELITE,DOVEL,62834e7eaff84f6680ff9665,1000,3400,L 465 W 310 H 245 mm,dovel-elite-one-piece-wash-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Elite One Piece Wash Basin (White).jpg,,,,,3400,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132242,TRUE,2782,Dovel Ship Table Top Basin (White),TABLE TOP BASIN,SHIP,DOVEL,62834e7eaff84f6680ff9665,1000,2300,L 400 W 345 H 170 mm,dovel-ship-table-top-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Ship Table Top Basin (White).jpg,,,,,2300,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132243,TRUE,2783,Dovel Nexa Table Top Basin (White),TABLE TOP BASIN,NEXA,DOVEL,62834e7eaff84f6680ff9665,1000,2500,L 375 W 375 H 195 mm,dovel-nexa-table-top-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Nexa Table Top Basin (White).jpg,,,,,2400,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132244,TRUE,2784,Dovel Libra Square Table Top Basin (White),TABLE TOP BASIN,LIBRA,DOVEL,62834e7eaff84f6680ff9665,1000,3000,L 405 W 405 H 125 mm,dovel-libra-table-top-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Libra Table Top Basin (White).jpg,,,,,3000,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132245,TRUE,2785,Dovel Cooper Wall Hung Basin (White),WALL HUNG BASIN,COOPER (New),DOVEL,62834e7eaff84f6680ff9665,1000,1300,L 460 W 335 H 135 mm,dovel-cooper-wall-hung-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Cooper Wall Hung Basin (White).jpg,,,,,0,0,0,0,TRUE,TRUE,TRUE,,,
62da57fe863ba7c37a132246,TRUE,2786,Dovel Julie Wall Hung Basin (White),WALL HUNG BASIN,JULIE (New),DOVEL,62834e7eaff84f6680ff9665,1000,1300,L 470 W 365 H 180 mm,dovel-julie-wall-hung-basin-white-,2,7,uploads/catalog/product/DOVEL/Dovel Julie Wall Hung Basin (White).jpg,,,,,0,0,0,0,TRUE,TRUE,TRUE,,,
